gyro_0, gyro_1, gyro_2, accel_0, accel_1, accel_2, mag_0, mag_1, mag_2
0.27,-9.32,15.36,0.00,-0.60,30.95,55.33,-6.50,3.17
0.27,-9.32,15.36,0.11,-0.60,30.95,54.17,-6.67,3.33
-0.73,-9.32,13.36,0.11,-0.71,31.32,55.17,-6.83,3.33
-0.73,-8.32,16.36,0.11,-0.71,31.20,55.17,-7.00,3.33
0.27,-10.32,14.36,0.22,-0.60,31.08,54.33,-6.33,3.67
-0.73,-10.32,14.36,0.11,-0.60,31.20,54.67,-6.50,3.50
0.27,-10.32,15.36,0.11,-0.71,31.45,55.17,-6.83,3.67
0.27,-9.32,16.36,0.11,-0.71,31.32,55.00,-6.83,3.67
-0.73,-10.32,16.36,0.22,-0.60,31.32,54.83,-6.33,3.17
0.27,-10.32,16.36,0.11,-0.60,31.08,55.17,-6.50,3.17
-0.73,-10.32,15.36,0.11,-0.71,31.20,55.00,-6.83,3.17
1.27,-9.32,16.36,0.22,-0.71,31.20,54.67,-6.33,2.83
1.27,-8.32,15.36,0.22,-0.60,31.20,54.67,-6.67,3.67
0.27,-10.32,14.36,0.22,-0.60,31.20,54.83,-6.33,3.33
1.27,-10.32,14.36,0.11,-0.71,31.08,54.83,-6.83,2.83
0.27,-9.32,15.36,0.22,-0.82,31.20,54.83,-6.50,3.67
0.27,-8.32,13.36,0.11,-0.49,31.32,54.67,-6.67,3.50
1.27,-9.32,14.36,0.00,-0.71,31.32,54.00,-7.00,3.00
1.27,-9.32,14.36,0.11,-0.71,30.95,54.50,-6.83,3.00
-0.73,-10.32,18.36,0.00,-0.82,31.08,54.83,-7.00,3.33
0.27,-10.32,16.36,0.11,-0.71,31.20,55.17,-6.67,3.00
0.27,-10.32,16.36,0.11,-0.60,31.32,55.00,-6.17,3.33
-0.73,-10.32,15.36,0.00,-0.82,31.20,54.67,-6.67,3.17
0.27,-9.32,15.36,0.11,-0.82,31.08,54.67,-6.67,3.00
0.27,-10.32,15.36,0.33,-0.49,31.20,55.00,-6.67,3.67
1.27,-9.32,15.36,0.22,-0.60,31.32,54.83,-6.67,3.50
0.27,-10.32,15.36,0.22,-0.82,30.83,54.67,-6.67,3.00
-0.73,-9.32,15.36,0.22,-0.71,31.32,54.50,-6.83,3.50
-0.73,-9.32,14.36,0.11,-0.71,31.20,54.83,-6.33,3.17
0.27,-9.32,17.36,0.11,-0.71,31.08,55.33,-6.67,3.00
0.27,-10.32,16.36,0.11,-0.71,31.20,55.00,-6.83,3.33
0.27,-9.32,17.36,0.00,-0.60,31.20,54.67,-6.83,3.17
-0.73,-9.32,14.36,0.22,-0.71,31.20,54.50,-6.83,2.83
0.27,-9.32,13.36,0.22,-0.82,31.08,55.17,-6.50,3.33
0.27,-10.32,17.36,0.22,-0.71,31.08,54.67,-6.50,2.83
0.27,-9.32,15.36,0.22,-0.60,31.20,55.00,-6.83,3.17
0.27,-10.32,15.36,0.11,-0.71,31.08,54.50,-6.67,3.67
-0.73,-9.32,16.36,0.11,-0.71,31.20,54.83,-6.67,3.33
-0.73,-9.32,14.36,0.11,-0.82,31.20,55.00,-6.50,2.83
1.27,-8.32,15.36,0.11,-0.82,30.95,55.00,-6.50,3.33
1.27,-10.32,15.36,0.11,-0.71,31.20,54.50,-7.67,2.83
0.27,-10.32,16.36,0.22,-0.60,31.32,54.50,-6.67,3.33
-1.73,-10.32,14.36,0.22,-0.82,30.95,54.67,-7.17,3.33
0.27,-9.32,15.36,0.22,-0.71,31.08,54.83,-6.83,3.00
0.27,-9.32,17.36,0.00,-0.71,30.95,54.83,-7.00,3.50
0.27,-9.32,15.36,0.00,-0.71,31.08,54.33,-6.33,3.33
-0.73,-9.32,14.36,0.22,-0.71,31.32,54.17,-7.00,3.67
-0.73,-10.32,14.36,0.00,-0.82,31.08,54.83,-6.83,3.17
0.27,-11.32,14.36,0.11,-0.60,31.57,55.00,-6.50,2.67
1.27,-10.32,16.36,0.11,-0.82,31.32,54.83,-6.50,3.00
-0.73,-8.32,16.36,0.22,-0.49,31.32,55.00,-6.33,3.00
-0.73,-9.32,16.36,0.00,-0.71,31.20,54.67,-6.83,3.00
-0.73,-11.32,16.36,0.22,-0.82,31.20,54.33,-6.50,3.50
-0.73,-9.32,15.36,0.11,-0.60,31.32,55.00,-6.67,3.50
0.27,-10.32,15.36,0.22,-0.71,31.08,55.00,-6.67,3.17
1.27,-10.32,17.36,0.11,-0.71,31.32,54.83,-6.67,3.50
1.27,-9.32,16.36,0.00,-0.60,31.45,54.83,-6.67,3.33
1.27,-9.32,17.36,0.11,-0.60,31.20,54.50,-7.00,2.83
-0.73,-9.32,14.36,0.00,-0.82,31.08,54.50,-7.00,3.83
0.27,-8.32,16.36,0.11,-0.71,31.57,54.67,-6.50,3.33
1.27,-9.32,15.36,0.22,-0.71,31.20,54.67,-6.50,3.00
1.27,-9.32,14.36,0.00,-0.60,31.45,55.00,-7.33,3.50
-0.73,-9.32,14.36,0.22,-0.60,30.95,54.83,-6.83,3.33
0.27,-8.32,16.36,0.11,-0.60,31.20,54.83,-7.00,3.00
0.27,-10.32,19.36,0.11,-0.60,31.32,54.83,-6.00,3.00
-1.73,-9.32,17.36,0.22,-0.71,31.32,54.83,-6.83,3.33
0.27,-9.32,16.36,0.22,-0.60,31.08,55.00,-6.83,3.17
-0.73,-10.32,15.36,0.00,-0.60,31.08,54.67,-6.67,3.33
0.27,-11.32,15.36,0.00,-0.60,31.08,54.83,-6.67,3.33
0.27,-10.32,15.36,0.22,-0.71,31.32,54.67,-6.83,3.33
-1.73,-9.32,15.36,0.11,-0.71,31.20,54.50,-6.83,3.33
-0.73,-10.32,14.36,0.11,-0.71,31.20,54.67,-6.50,3.17
0.27,-9.32,18.36,0.11,-0.60,31.20,54.67,-6.33,2.67
1.27,-10.32,16.36,0.11,-0.60,31.32,55.00,-6.33,3.00
0.27,-10.32,16.36,0.11,-0.60,30.95,54.67,-6.67,3.17
0.27,-9.32,15.36,0.11,-0.49,31.45,54.50,-6.67,3.83
-0.73,-9.32,16.36,0.22,-0.60,31.32,55.00,-7.00,3.50
0.27,-9.32,16.36,0.33,-0.71,31.32,54.83,-6.67,3.17
-0.73,-9.32,16.36,0.00,-0.71,31.20,54.83,-6.67,3.33
-0.73,-8.32,14.36,0.22,-0.60,31.20,54.50,-6.50,3.17
-0.73,-10.32,16.36,0.00,-0.71,31.08,54.83,-6.50,3.67
-0.73,-10.32,14.36,0.11,-0.82,31.20,54.17,-6.50,3.33
1.27,-10.32,14.36,0.22,-0.60,31.20,54.83,-6.17,3.17
-0.73,-9.32,15.36,0.22,-0.49,31.32,54.50,-6.67,3.17
-0.73,-10.32,17.36,0.22,-0.60,31.20,54.50,-6.50,3.00
0.27,-11.32,17.36,0.11,-0.71,31.32,55.33,-7.17,3.17
-0.73,-9.32,14.36,0.11,-0.71,31.20,54.33,-6.83,2.67
1.27,-9.32,15.36,0.00,-0.71,31.32,54.67,-6.50,2.83
0.27,-10.32,16.36,0.22,-0.71,30.95,55.00,-6.50,4.00
-0.73,-10.32,15.36,0.00,-0.60,31.20,54.67,-7.00,3.50
0.27,-10.32,15.36,0.22,-0.71,31.32,54.67,-6.67,3.33
0.27,-9.32,16.36,0.22,-0.71,31.32,54.83,-7.33,2.67
0.27,-11.32,15.36,0.11,-0.71,31.32,54.83,-6.67,3.67
-0.73,-9.32,15.36,0.11,-0.71,31.08,55.00,-7.00,3.33
-0.73,-10.32,16.36,0.11,-0.60,31.32,54.67,-7.17,3.00
1.27,-9.32,15.36,0.22,-0.60,31.32,54.67,-6.83,3.00
0.27,-10.32,16.36,0.11,-0.49,31.45,54.50,-6.83,3.17
0.27,-10.32,15.36,0.11,-0.71,31.32,54.83,-6.67,3.00
0.27,-9.32,15.36,0.11,-0.60,31.20,54.83,-6.83,3.00
-0.73,-10.32,15.36,0.33,-0.71,31.32,55.00,-6.50,3.33
-0.73,-10.32,16.36,0.00,-0.71,31.08,55.17,-6.17,3.50
-0.73,-12.32,16.36,0.11,-0.93,30.95,54.83,-6.67,2.83
0.27,-10.32,14.36,0.22,-0.71,31.20,54.67,-6.50,3.33
-0.73,-9.32,18.36,0.11,-0.49,31.08,54.50,-6.67,3.50
0.27,-10.32,16.36,0.11,-0.60,31.32,55.17,-6.33,3.17
0.27,-10.32,16.36,0.00,-0.82,30.95,54.83,-6.83,3.00
0.27,-8.32,14.36,0.11,-0.71,31.08,55.33,-6.50,3.83
0.27,-11.32,16.36,0.11,-0.71,31.08,54.50,-6.83,3.33
0.27,-9.32,14.36,0.11,-0.71,31.20,54.67,-6.83,2.83
0.27,-10.32,14.36,0.11,-0.71,31.20,55.17,-7.00,3.00
0.27,-10.32,17.36,0.11,-0.71,31.20,54.50,-6.67,3.50
0.27,-10.32,15.36,0.22,-0.49,31.08,54.50,-6.83,3.50
1.27,-10.32,16.36,0.11,-0.71,31.32,54.33,-6.83,3.33
-0.73,-10.32,16.36,0.22,-0.49,31.20,55.17,-6.67,2.83
1.27,-10.32,16.36,-0.11,-0.71,30.95,54.83,-7.17,3.17
-0.73,-11.32,17.36,0.11,-0.60,31.20,54.67,-7.17,3.17
0.27,-9.32,16.36,0.22,-0.71,31.08,54.67,-6.33,3.00
-0.73,-10.32,16.36,0.22,-0.71,31.32,55.00,-7.17,3.50
0.27,-9.32,15.36,0.11,-0.82,31.32,54.83,-6.83,3.33
0.27,-9.32,15.36,0.11,-0.82,31.20,54.17,-6.83,3.33
-0.73,-9.32,16.36,0.22,-0.82,30.95,54.83,-6.33,3.17
1.27,-9.32,16.36,0.11,-0.60,31.32,54.50,-7.00,3.33
0.27,-10.32,15.36,0.11,-0.71,31.20,54.83,-6.67,3.00
-0.73,-11.32,14.36,0.11,-0.71,31.32,55.17,-6.67,3.17
0.27,-9.32,13.36,0.11,-0.71,31.20,54.67,-7.00,2.67
0.27,-10.32,16.36,0.11,-0.71,30.95,54.00,-6.83,2.83
0.27,-10.32,16.36,0.11,-0.71,31.20,54.67,-6.50,3.17
-0.73,-10.32,14.36,0.00,-0.71,31.20,55.00,-7.00,3.50
-0.73,-9.32,16.36,0.11,-0.60,31.32,54.67,-6.83,3.33
0.27,-10.32,13.36,0.11,-0.82,31.08,55.00,-6.50,2.50
1.27,-9.32,14.36,0.22,-0.71,31.20,54.83,-6.17,3.17
0.27,-9.32,15.36,0.00,-0.82,31.08,54.83,-7.17,3.00
-0.73,-10.32,16.36,0.00,-0.71,31.20,55.00,-7.00,3.33
0.27,-8.32,15.36,0.11,-0.71,31.20,54.67,-6.17,3.33
-0.73,-10.32,16.36,0.11,-0.60,31.32,54.33,-6.83,2.67
0.27,-11.32,15.36,0.33,-0.60,31.08,54.50,-6.67,3.17
-0.73,-9.32,16.36,0.00,-0.82,31.20,55.17,-6.83,3.00
0.27,-10.32,15.36,0.33,-0.60,31.20,55.00,-6.17,3.00
-0.73,-9.32,18.36,0.33,-0.60,31.20,55.00,-6.83,3.33
-0.73,-10.32,21.36,0.33,-0.71,31.20,54.33,-6.67,3.33
-3.73,-11.32,176.36,0.00,-0.82,31.32,54.83,-6.83,3.33
-3.73,-11.32,128.36,-0.44,-0.71,31.08,54.50,-6.33,2.83
-5.73,-10.32,17.36,0.00,-0.71,31.32,54.83,-6.50,3.83
-8.73,-10.32,16.36,0.11,-0.82,31.08,55.17,-6.67,3.17
-34.73,-9.32,15.36,0.11,-0.49,31.32,54.67,-6.50,2.83
-221.73,-9.32,17.36,0.22,0.27,32.44,54.67,-7.83,4.00
-522.73,-16.32,0.36,-0.65,-1.91,30.46,55.00,-8.83,3.50
-202.73,-13.32,23.36,0.22,-2.23,30.70,54.50,-9.67,3.83
-43.73,-15.32,94.36,0.22,-2.45,30.83,54.50,-9.33,3.50
-36.73,-18.32,164.36,0.44,-2.01,31.20,54.50,-9.50,3.83
-167.73,-16.32,103.36,-0.22,-1.80,31.82,54.67,-9.67,2.83
-274.73,-11.32,20.36,0.11,-2.12,31.32,54.50,-10.50,3.67
-316.73,-15.32,18.36,0.33,-2.45,31.08,54.67,-11.17,3.67
-225.73,-13.32,5.36,0.00,-3.43,30.33,54.67,-12.17,4.00
-213.73,-15.32,55.36,-0.33,-2.56,30.95,54.33,-12.17,3.17
-182.73,-13.32,44.36,0.00,-2.89,30.58,54.50,-13.17,3.67
-117.73,-14.32,53.36,0.98,-4.41,31.08,54.00,-13.50,3.83
-176.73,-25.32,127.36,1.09,-4.19,31.08,53.83,-13.67,3.67
-417.73,-29.32,135.36,-0.11,-4.19,31.57,54.17,-15.33,3.67
-468.73,-15.32,16.36,0.22,-5.17,30.21,53.83,-16.67,4.00
-275.73,-10.32,-26.64,0.11,-5.94,30.21,53.83,-17.00,4.17
-209.73,-13.32,30.36,0.33,-5.94,30.58,53.17,-18.00,3.83
-270.73,-14.32,18.36,0.22,-5.50,31.08,53.00,-18.67,4.17
-294.73,-11.32,16.36,0.22,-6.26,30.46,53.50,-19.17,4.33
-273.73,-12.32,19.36,0.33,-6.59,30.33,52.83,-20.17,4.00
-234.73,-13.32,11.36,0.11,-6.70,30.46,53.00,-21.00,3.83
-211.73,-4.32,-16.64,0.11,-7.02,30.33,53.17,-21.50,4.33
-173.73,-5.32,-13.64,0.44,-7.57,30.09,52.83,-21.50,4.50
-134.73,-10.32,11.36,0.33,-7.35,30.46,52.50,-22.67,3.83
-217.73,-11.32,9.36,0.22,-7.02,30.46,52.33,-22.83,4.17
-302.73,-0.32,-34.64,0.00,-8.00,29.84,52.33,-24.00,4.17
-241.73,1.68,-42.64,0.22,-8.55,29.84,52.17,-24.50,4.00
-171.73,-6.32,2.36,0.44,-8.66,29.96,51.83,-25.33,4.00
-167.73,-18.32,42.36,0.55,-8.22,30.21,52.33,-25.00,4.00
-301.73,-9.32,5.36,0.00,-8.33,30.33,52.00,-25.83,4.17
-255.73,12.68,-67.64,0.87,-9.20,29.96,51.33,-26.83,4.33
-299.73,-5.32,-0.64,0.55,-9.31,30.33,51.33,-27.67,4.33
-362.73,-12.32,20.36,0.33,-9.53,29.71,50.67,-27.67,4.33
-546.73,-6.32,-12.64,0.44,-9.64,29.47,50.50,-29.50,3.67
-504.73,0.68,-23.64,0.33,-11.27,28.60,49.83,-31.50,4.17
-360.73,3.68,-24.64,0.55,-11.71,28.60,50.17,-32.17,4.50
-160.73,-19.32,38.36,0.55,-12.47,27.86,49.83,-31.83,4.33
20.27,-35.32,83.36,0.55,-11.92,28.60,49.67,-32.83,4.33
-69.73,-26.32,54.36,0.22,-11.49,29.22,49.50,-32.17,4.33
-224.73,-10.32,13.36,0.33,-11.49,29.22,49.50,-32.83,4.50
-315.73,-9.32,4.36,0.22,-12.47,28.35,49.33,-33.17,4.67
-399.73,34.68,-145.64,0.22,-12.80,28.48,48.67,-34.67,4.50
-421.73,85.68,-213.64,-0.22,-12.90,28.35,48.50,-35.67,4.00
-585.73,107.68,-261.64,0.33,-13.23,28.72,47.67,-37.00,4.83
-774.73,5.68,-52.64,0.98,-14.97,26.62,46.50,-38.83,4.50
-551.73,-14.32,27.36,1.31,-14.97,26.25,45.67,-40.83,5.00
-246.73,-27.32,42.36,0.87,-15.41,26.62,46.00,-41.00,4.33
-201.73,-39.32,68.36,0.55,-15.85,26.62,46.33,-41.67,5.17
-197.73,-56.32,96.36,0.11,-15.30,27.24,46.00,-41.50,5.17
-413.73,-42.32,66.36,0.76,-16.06,27.11,44.83,-42.50,4.50
-561.73,-16.32,16.36,0.33,-16.17,26.87,44.67,-43.33,4.83
-673.73,-14.32,18.36,0.55,-17.59,25.13,43.67,-44.67,5.50
-483.73,-28.32,37.36,0.65,-18.24,24.89,42.17,-46.50,5.00
-253.73,-71.32,104.36,0.44,-19.00,24.39,43.17,-46.50,5.33
-165.73,-50.32,72.36,0.33,-18.35,25.38,42.33,-47.17,5.33
-356.73,-13.32,15.36,0.65,-18.57,25.13,42.17,-47.50,5.33
-399.73,-6.32,4.36,0.55,-19.55,23.90,41.00,-48.83,5.33
-311.73,6.68,-10.64,0.65,-19.77,23.90,40.67,-49.50,5.17
-262.73,-4.32,6.36,0.55,-19.98,23.77,40.33,-49.50,5.50
-126.73,-6.32,9.36,0.76,-19.87,24.02,40.50,-50.17,5.00
-176.73,-10.32,15.36,0.65,-19.98,23.77,39.67,-50.17,5.33
-282.73,-7.32,10.36,0.44,-19.87,24.14,40.00,-50.83,5.50
-307.73,16.68,-21.64,0.55,-20.64,23.03,39.17,-51.17,5.17
-257.73,36.68,-46.64,0.76,-21.07,22.53,38.17,-52.00,5.33
-195.73,74.68,-85.64,0.55,-20.96,22.66,38.50,-52.33,5.33
-266.73,64.68,-74.64,0.33,-20.85,23.03,37.33,-52.50,5.50
-441.73,71.68,-81.64,0.44,-20.85,23.40,37.17,-53.50,5.67
-670.73,120.68,-133.64,0.98,-22.16,21.17,35.83,-54.83,5.67
-485.73,117.68,-119.64,0.76,-23.14,20.18,35.00,-55.67,6.00
-161.73,65.68,-62.64,0.65,-23.14,20.55,34.17,-56.33,5.83
-52.73,45.68,-36.64,0.76,-22.81,21.30,34.50,-56.50,5.67
-65.73,35.68,-31.64,0.76,-22.49,21.42,34.50,-56.17,5.83
-178.73,24.68,-55.64,0.65,-22.60,21.30,34.33,-56.17,6.00
-250.73,30.68,-27.64,0.65,-23.14,20.68,34.00,-57.17,5.67
-278.73,58.68,-47.64,0.87,-23.03,21.05,33.50,-57.67,6.00
-428.73,19.68,-13.64,0.76,-23.36,20.30,32.83,-58.33,5.83
-348.73,1.68,11.36,0.65,-24.23,19.69,32.17,-58.33,6.17
-258.73,11.68,-2.64,0.65,-24.23,18.82,31.67,-58.83,6.00
-254.73,-24.32,7.36,0.55,-23.90,19.56,31.17,-59.50,6.33
-368.73,-47.32,5.36,0.65,-23.90,19.69,30.67,-60.00,6.00
-423.73,-119.32,-6.64,1.09,-24.88,18.32,30.00,-59.83,6.67
-403.73,-102.32,77.36,0.87,-25.43,18.08,28.83,-60.50,6.67
-351.73,-96.32,90.36,0.98,-25.65,16.96,28.50,-61.00,6.33
-187.73,-38.32,70.36,0.98,-26.08,16.96,28.67,-61.50,6.67
-161.73,-53.32,65.36,0.76,-25.32,17.95,28.33,-61.33,6.17
-254.73,-106.32,72.36,0.76,-25.43,17.95,27.17,-61.50,6.83
-286.73,-168.32,83.36,0.98,-25.54,17.33,27.50,-62.17,7.00
-338.73,-166.32,131.36,1.20,-26.41,15.97,27.00,-62.50,7.00
-139.73,-161.32,114.36,0.22,-26.95,16.22,26.33,-62.67,7.17
-97.73,-93.32,66.36,1.31,-26.52,15.72,26.83,-62.50,6.83
-100.73,110.68,-8.64,1.20,-26.63,16.22,26.33,-62.50,6.67
-162.73,88.68,21.36,0.00,-26.63,16.84,26.33,-63.00,6.33
-97.73,-80.32,63.36,0.87,-26.41,16.22,26.33,-62.83,6.50
-136.73,-80.32,47.36,0.87,-26.63,16.10,25.50,-63.17,6.50
-205.73,-31.32,39.36,1.20,-26.52,15.60,25.67,-63.17,6.67
-236.73,17.68,38.36,0.76,-26.74,16.22,25.50,-63.67,6.50
-241.73,-28.32,45.36,0.44,-26.84,15.72,24.67,-63.50,7.00
-253.73,-107.32,72.36,0.76,-27.28,15.23,23.83,-64.00,6.67
-9.73,-18.32,10.36,0.98,-27.72,14.11,24.00,-63.83,6.17
4.27,23.68,-3.64,0.76,-27.06,15.23,23.83,-64.17,6.83
-71.73,94.68,-46.64,0.76,-27.28,15.60,23.83,-64.33,6.67
-167.73,84.68,-42.64,0.76,-26.84,15.60,23.50,-64.67,6.50
-191.73,54.68,-23.64,0.76,-27.28,14.98,22.83,-64.50,6.50
-183.73,21.68,-2.64,0.76,-27.28,14.86,23.17,-64.67,6.83
-177.73,-7.32,12.36,0.65,-27.61,14.61,22.67,-64.50,6.67
-183.73,63.68,-27.64,1.09,-27.39,14.11,22.17,-65.00,6.50
-249.73,72.68,-34.64,0.76,-27.61,14.49,21.67,-64.83,6.67
-338.73,0.68,7.36,0.11,-27.72,14.36,21.17,-65.83,6.67
-483.73,-49.32,32.36,0.98,-27.50,13.74,20.33,-66.17,6.67
-592.73,-88.32,46.36,0.87,-28.15,12.88,19.17,-66.50,6.83
-590.73,-92.32,48.36,0.65,-28.80,11.76,18.17,-66.83,6.50
-560.73,-69.32,33.36,0.87,-29.02,10.90,16.83,-67.17,6.83
-366.73,-30.32,19.36,0.98,-29.89,9.53,16.33,-67.67,6.50
-125.73,-9.32,12.36,0.65,-29.57,9.53,15.67,-68.00,6.83
-141.73,-9.32,15.36,0.76,-29.35,10.40,15.33,-67.67,7.17
-142.73,-7.32,12.36,1.09,-29.24,10.40,15.00,-67.67,6.83
-137.73,72.68,-15.64,1.20,-29.02,10.40,15.00,-68.17,6.67
-168.73,87.68,-22.64,0.98,-29.13,10.28,14.33,-68.33,7.00
-141.73,52.68,-9.64,0.87,-29.78,9.29,14.33,-68.50,7.33
-56.73,19.68,3.36,0.76,-29.46,9.41,13.83,-68.67,7.17
-175.73,-9.32,11.36,0.76,-29.24,10.15,13.67,-68.33,7.00
